id,id.1,relationship
Kate B,Will C,Spouse
Kate C,Kate B,Child
Kate C,Molly B,Sibling
Kate C,Virgin A,Sibling
Kate C,Will C,Child
Kate C,Will E,Sibling
Kate D,George B,Child
Kate D,Lawrence B,Sibling
Kate D,NA4,Spouse
Kate D,Sall Twine,Child
Lawrence A,Boatswain A,Child
Lawrence A,Lily A,Sibling
Lawrence A,Matilda A,Child
Lawrence B,George B,Child
Lawrence B,Sall Twine,Child
Leanthe A,Caroline A,Child
Leanthe A,Peter B,Sibling
Leanthe A,Peter Hardman,Child
Leanthe A,Polly B,Sibling
Leanthe A,Rachel A,Sibling
Leanthe A,Wilson A,Sibling
Letty A,Isaac A,Child
Letty A,Kitty A,Child
Letty A,Levina A,Sibling
Letty A,Lucy E,Sibling
Letty A,Mima A,Sibling
Letty A,Nancy E,Sibling
Letty A,Sinah A,Sibling
Letty B,Lucy B,Sibling
Letty B,Nathan A,Child
Letty B,Peg A,Child
Levina A,Isaac A,Child
Levina A,Kitty A,Child
Levina A,Lucy E,Sibling
Levina A,Mima A,Sibling
Levina A,Nancy E,Sibling
Levina A,Sinah A,Sibling
Lewis A,Alce E,Sibling
Lewis A,Cornelia A,Child
Lewis A,Paschall A,Child
Lily A,Boatswain A,Child
Lily A,Matilda A,Child
Lucinda A,Betty Davis,Child
Lucinda A,Dick A,Child
Lucinda A,Nancy D,Sibling
Lucinda A,Oney A,Sibling
Lucinda A,Oney B,Sibling
Lucretia A,Betty A,Child
Lucretia A,Mary A,Sibling
Lucy A,Nat A,Spouse
Lucy B,Nathan A,Child
Lucy B,Peg A,Child
Lucy D,Daphne C,Child
Lucy D,Moses B,Sibling
Lucy E,Isaac A,Child
Lucy E,Kitty A,Child
Lucy E,Mima A,Sibling
Lucy E,Nancy E,Sibling
Lucy E,Sinah A,Sibling
Lucy F,Sarah C,Child
Lucy G,NA5,Spouse
Lydia B,George A,Child
Lydia B,Lydia A,Child
Lydia B,Ned C,Sibling
Lydia B,Peter A,Sibling
Lydia B,Phoebe A,Sibling
Maria A,Daphne B,Child
Maria A,Matilda B,Sibling
Maria A,Polly A,Sibling
Maria A,Simms A,Child
Martin A,Abram A,Child
Martin A,Nancy F,Child
Martin A,Oliver A,Sibling
Martin A,Siss A,Sibling
Mary A,Betty A,Child
Matilda B,Daphne B,Child
Matilda B,Polly A,Sibling
Matilda B,Simms A,Child
Matilda C,Linny A,Child
Mike A,Frank A,Child
Mike A,Lucy C,Child
Mike A,Patty A,Sibling
Mike A,Philip A,Sibling
Milly A,Sall A,Child
Milly B,Doll B,Child
Milly B,Patience A,Sibling
Milly B,Patt A,Sibling
Milly B,Suckey E,Sibling
Milly B,Sylvia B,Sibling
Milly D,Betty B,Child
Milly D,Reuben A,Child
Mima A,Isaac A,Child
Mima A,Kitty A,Child
Mima A,Nancy E,Sibling
Mima A,Sinah A,Sibling
Molly B,Kate B,Child
Molly B,Virgin A,Sibling
Molly B,Will C,Child
Molly B,Will E,Sibling
Molly E,Grace B,Child
Molly E,Jack D,Child
Molly E,Roger A,Sibling
Morgan A,George F,Child
Morgan A,Lucy H,Child
Morgan A,Phoenix A,Sibling
Morgan A,Raison A,Sibling
Morgan A,Renney A,Sibling
Morgan A,Stately A,Sibling
Moses A,Darcus A,Child
Moses A,James A,Child
Moses A,Nancy A,Sibling
Moses A,Townshend A,Sibling
Moses B,Daphne C,Child
Muclus A,NA6,Spouse
Nancy A,Darcus A,Child
Nancy A,James A,Child
Nancy A,Townshend A,Sibling
Nancy B,Davy A,Child
Nancy B,Edy A,Child
Nancy B,Sarah A,Sibling
Nancy C,Ben B,Child
Nancy C,Sinah A,Child
Nancy D,Betty Davis,Child
Nancy D,Dick A,Child
Nancy D,Oney A,Sibling
Nancy D,Oney B,Sibling
Nancy E,Isaac A,Child
Nancy E,Kitty A,Child
Nancy E,Sinah A,Sibling
Nancy G,Nancy H,Sibling
Nancy G,Rose A,Sibling
Nancy G,Suckey Bay,Child
Nancy H,Rose A,Sibling
Nancy H,Suckey Bay,Child
Nancy J,Sabine A,Child
Nanny A,Tom A,Spouse
Nathan A,Peg A,Spouse
Natt C,Doll C,Child
Natt C,Natt B,Child
Natt C,Peter D,Sibling
Ned A,Lucy A,Child
Ned A,Nat A,Child
Ned A,Teney A,Sibling
Ned C,George A,Child
Ned C,Lydia A,Child
Ned C,Peter A,Sibling
Ned C,Phoebe A,Sibling
Nelly A,Delia B,Child
Oliver A,Abram A,Child
Oliver A,Nancy F,Child
Oliver A,Siss A,Sibling
Oney A,Betty Davis,Child
Oney A,Dick A,Child
Oney A,Oney B,Sibling
Oney B,Betty Davis,Child
Oney B,Dick A,Child
Paschall A,Cornelia A,Spouse
Patience A,Doll B,Child
Patience A,Patt A,Sibling
Patience A,Suckey E,Sibling
Patience A,Sylvia B,Sibling
Patt A,Doll B,Child
Patt A,Suckey E,Sibling
Patt A,Sylvia B,Sibling
Patty A,Frank A,Child
Patty A,Lucy C,Child
Patty A,Philip A,Sibling
Peg D,Ben E,Child
Peg D,Peg C,Child
Penny A,Ben D,Child
Penny A,Peg B,Child
Penny B,Joe B,Child
Penny B,Priscilla A,Child
Penny B,Savary A,Sibling
Penny B,Sophia A,Sibling
Peter A,George A,Child
Peter A,Lydia A,Child
Peter A,Phoebe A,Sibling
Peter B,Caroline A,Child
Peter B,Peter Hardman,Child
Peter B,Polly B,Sibling
Peter B,Rachel A,Sibling
Peter B,Wilson A,Sibling
Peter D,Doll C,Child
Peter D,Natt B,Child
Phil A,Frank A,Child
Phil A,Lucy C,Child
Philip A,Frank A,Child
Philip A,Lucy C,Child
Phoebe A,George A,Child
Phoebe A,Lydia A,Child
Phoenix A,George F,Child
Phoenix A,Lucy H,Child
Phoenix A,Raison A,Sibling
Phoenix A,Renney A,Sibling
Phoenix A,Stately A,Sibling
Polly A,Daphne B,Child
Polly A,Simms A,Child
Polly B,Caroline A,Child
Polly B,Peter Hardman,Child
Polly B,Rachel A,Sibling
Polly B,Wilson A,Sibling
Polly D,Joe C,Child
Polly D,Sall Brass,Child
Rachel A,Caroline A,Child
Rachel A,Peter Hardman,Child
Rachel A,Wilson A,Sibling
Rainey A,Amie A,Child
Raison A,George F,Child
Raison A,Lucy H,Child
Raison A,Renney A,Sibling
Raison A,Stately A,Sibling
Ralph A,Sall B,Child
Randolph A,Godfrey A,Child
Randolph A,Mima A,Child
Renney A,George F,Child
Renney A,Lucy H,Child
Renney A,Stately A,Sibling
Richmond A,Alce F,Child
Roger A,Grace B,Child
Roger A,Jack D,Child
Rose A,Suckey Bay,Child
Sabine A,NA7,Spouse
Sall C,Davy E,Child
Sall C,Grace C,Child
Sam Kitt,NA8,Spouse
Sandy A,Anna A,Child
Sarah A,Davy A,Child
Sarah A,Edy A,Child
Sarah C,Charity B,Child
Sarah C,Dick B,Child
Savary A,Joe B,Child
Savary A,Priscilla A,Child
Savary A,Sophia A,Sibling
Simon A,Rose A,Child
Simon B,Joan A,Child
Sinah A,Isaac A,Child
Sinah A,Kitty A,Child
Siss A,Abram A,Child
Siss A,Nancy F,Child
Sophia A,Joe B,Child
Sophia A,Priscilla A,Child
Stately A,George F,Child
Stately A,Lucy H,Child
Suckey A,Dolshy A,Child
Suckey A,Joe A,Child
Suckey Bay,NA9,Spouse
Suckey D,Alce D,Child
Suckey D,John B,Child
Suckey E,Doll B,Child
Suckey E,Sylvia B,Sibling
Sylvia A,Molly B,Child
Sylvia B,Doll B,Child
Teney A,Lucy A,Child
Teney A,Nat A,Child
Timothy A,Charlotte A,Child
Tom B,Alce C,Child
Tom B,Charles Freeman,Child
